IssueDate,name,Artist(s),money
May-28,Can't Stop the Feeling!,Justin Timberlake,379000
January-16,Hello,Adele,32700
May-14,Purple Rain,Prince and The Revolution,282000
February-20,Pillowtalk,Zayn,26700
March-19,Piece by Piece,Kelly Clarkson,210000
June-4,Can't Stop the Feeling!,Justin Timberlake,204000
January-9,Hello,Adele,17400
June-11,Can't Stop the Feeling!,Justin Timberlake,174000
March-12,Work,Rihanna featuring Drake,169000
August-13,Cold Water,Major Lazer featuring Justin Bieber and MÃ˜,169000
January-23,Love Yourself,Justin Bieber,16400
January-2,Mary Did You Know?,Jordan Smith,16100
May-21,One Dance,Drake featuring Wizkid and Kyla,160000
April-16,7 Years,Lukas Graham,155000
June-18,Can't Stop the Feeling!,Justin Timberlake,155000
January-30,Love Yourself,Justin Bieber,14700
February-6,Love Yourself,Justin Bieber,13900
June-25,Can't Stop the Feeling!,Justin Timberlake,138000
August-6,Rise,Katy Perry,137000
February-27,My House,Flo Rida,13600
March-5,My House,Flo Rida,135000
April-9,No,Meghan Trainor,128000
April-23,Pop Style,Drake featuring Jay Z and Kanye West,128000
February-13,Work,Rihanna featuring Drake,12600
April-2,7 Years,Lukas Graham,125000
July-2,Can't Stop the Feeling!,Justin Timberlake,124000
May-7,Purple Rain,Prince and The Revolution,122000
March-26,7 Years,Lukas Graham,121000
April-30,One Dance,Drake featuring Wizkid and Kyla,119000
July-9,Can't Stop the Feeling!,Justin Timberlake,118000
July-16,Can't Stop the Feeling!,Justin Timberlake,107000
July-23,Can't Stop the Feeling!,Justin Timberlake,98000
July-30,Can't Stop the Feeling!,Justin Timberlake,92000
